,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2012903,-73.8522704846,40.8424771986,0,0,2,1,5
2012906,-74.1569848906,40.5818798213,1,1,1,0,4
2012907,-73.7636057622,40.7391684894,0,2,3,3,0
2012908,-73.9336254166,40.7593984523,0,0,0,4,1
2012945,-73.9410663523,40.7047708933,1,1,0,2,1
2012946,-73.9160809088,40.8121709915,0,0,2,4,3
2012947,-73.9497578758,40.8252691721,0,0,2,4,3
2012951,-73.8035048784,40.5865510919,1,2,3,3,0
2012973,-73.8228056669,40.7509619581,0,2,3,3,0
2012999,-73.9821973139,40.7316503125,1,1,0,2,1
2013008,-74.0047209231,40.7520231327,1,1,0,4,1
2013009,-73.8981286579,40.8297227316,0,0,2,1,5
2013025,-73.7485429176,40.7469783697,0,2,3,3,0
2013031,-73.9711857717,40.6051495629,1,1,1,0,2
2013032,-73.8957781663,40.8677348181,0,0,2,1,5
2013034,-73.8598734359,40.738422833,0,2,3,3,0
2013071,-74.0208890172,40.6323658916,1,1,1,0,2
2013096,-73.9315761182,40.8568184832,0,0,2,1,3
2013098,-73.8729011279,40.7568799329,0,2,3,3,0
2013109,-73.9023790836,40.7551767496,0,2,0,4,3
2013110,-73.9888636904,40.7191103548,1,1,0,2,1
2013131,-73.9810012927,40.6997120855,1,1,0,2,1
2013159,-74.0013389613,40.7481778302,1,1,0,4,1
2013160,-73.8902333675,40.8493291934,0,0,2,1,5
2013161,-73.9721564764,40.799089366,0,0,0,4,3
2013163,-74.1185429659,40.6344503621,1,1,1,0,4
2013164,-73.756281929,40.6055507769,1,2,3,3,0
2013165,-73.8977462257,40.6506327975,1,2,1,2,2
2013166,-73.9923410818,40.7210703966,1,1,0,2,1
2013167,-73.9237477699,40.8143913079,0,0,2,4,3
2013168,-73.8829986009,40.8443294585,0,0,2,1,5
2013169,-73.9144226404,40.8431658487,0,0,2,1,5
2013170,-73.9464046134,40.7806246923,0,0,0,4,3
2013171,-73.9574121778,40.6310451482,1,1,1,2,2
2013172,-73.8200877983,40.7590273144,0,2,3,3,0
2013173,-73.8616988609,40.8394916634,0,0,2,1,5
2013174,-73.8345244721,40.7060504002,0,2,3,3,0
2013175,-73.9189708766,40.7350705925,0,2,0,4,1
2013179,-73.8691640583,40.8383475938,0,0,2,1,5
2013180,-73.9089883143,40.8236110953,0,0,2,1,3
2013182,-73.9534376499,40.6682244425,1,1,1,2,2
2013189,-73.95947353,40.6419344644,1,1,1,2,2
2013242,-73.9136714703,40.8287884872,0,0,2,1,3
2013252,-73.8758218499,40.6771697186,1,2,3,3,0
2013253,-73.946936303,40.6888760531,1,1,1,2,1
2013256,-73.8862078356,40.6564244338,1,2,3,2,2
2013258,-73.8210719251,40.7595146678,0,2,3,3,0
2013259,-73.9427435452,40.7970693676,0,0,0,4,3
2013260,-73.938352175,40.8238610885,0,0,2,4,3
2013261,-73.9523006697,40.6400625136,1,1,1,2,2
2013262,-73.8447938201,40.8838410189,0,0,2,1,5
2013263,-73.7844522856,40.6734391608,1,2,3,3,0
2013264,-73.8589551845,40.8807027976,0,0,2,1,5
2013265,-73.900158304,40.8545586392,0,0,2,1,5
2013266,-73.9581313951,40.6905879178,1,1,1,2,1
2013268,-73.9551010377,40.6551297604,1,1,1,2,2
2013269,-73.9232693698,40.8125849634,0,0,2,4,3
2013271,-73.8854201026,40.8359742438,0,0,2,1,5
2013272,-73.8219849542,40.7501427562,0,2,3,3,0
2013273,-73.822887261,40.7555677774,0,2,3,3,0
2013279,-73.9044869936,40.8709728629,0,0,2,1,5
2013292,-73.9212560209,40.6608948237,1,1,1,2,2
2013358,-73.8643779214,40.8566931869,0,0,2,1,5
2013363,-73.9550091915,40.6523739633,1,1,1,2,2
2013364,-73.8859419888,40.8161304527,0,0,2,1,5
2013365,-73.9831424448,40.7324738811,1,1,0,2,1
2013366,-73.9407025685,40.8380195543,0,0,2,4,3
2013367,-73.9396098528,40.6563193949,1,1,1,2,2
2013368,-73.901596404,40.8500805166,0,0,2,1,5
2013369,-73.7320867297,40.6516260681,1,2,3,3,0
2013370,-73.8992099505,40.7456634639,0,2,0,4,1
2013371,-73.8781669866,40.8242249146,0,0,2,1,5
2013372,-73.8993861389,40.8584060417,0,0,2,1,5
2013373,-74.0088220918,40.7326202491,1,1,0,2,1
2013378,-73.9269414455,40.7649442792,0,0,0,4,3
2013379,-73.7815340471,40.7378123008,0,2,3,3,0
2013380,-73.9022205483,40.8558010114,0,0,2,1,5
2013384,-73.9409414151,40.8050830615,0,0,2,4,3
2013387,-73.9576932445,40.6536924774,1,1,1,2,2
2013392,-73.957049456,40.6292526659,1,1,1,2,2
2013393,-73.9829813651,40.7132962326,1,1,0,2,1
2013394,-73.9237436169,40.6666742607,1,1,1,2,2
2013395,-73.9103554392,40.8440630239,0,0,2,1,5
2013396,-73.8847057936,40.6621787466,1,2,3,2,0
2013445,-73.8905770401,40.6382142744,1,2,1,2,2
2013453,-73.9860025344,40.772638142,0,0,0,4,1
2013454,-73.9669277633,40.6294590461,1,1,1,2,2
2013455,-73.9292788887,40.8584474505,0,0,2,1,3
2013456,-73.9429509045,40.8332586139,0,0,2,4,3
2013457,-73.9402870254,40.8339269753,0,0,2,4,3
2013458,-73.9079145378,40.8371499211,0,0,2,1,5
2013459,-73.9729969822,40.6146909094,1,1,1,0,2
2013460,-73.833458094,40.7127762885,0,2,3,3,0
2013465,-73.9135401534,40.8325184559,0,0,2,1,3
2013466,-73.9169086665,40.8320351177,0,0,2,1,3
2013467,-73.9097472007,40.8261834919,0,0,2,1,3
2013502,-73.9477071818,40.8277961435,0,0,2,4,3
2013503,-73.9411380187,40.7053006697,1,1,0,2,1
2013504,-73.8323056854,40.7062942184,0,2,3,3,0
2013513,-73.960827796,40.6490603944,1,1,1,2,2
2013516,-73.885897154,40.8802083422,0,0,2,1,5
2013517,-73.9745991078,40.7301035899,1,1,0,2,1
2013518,-73.9792486225,40.6879394705,1,1,1,2,1
2013522,-73.8837284137,40.8692987619,0,0,2,1,5
2013523,-73.9441664862,40.822993975,0,0,2,4,3
2013527,-73.9485941255,40.7882231138,0,0,0,4,3
2013567,-73.9101315074,40.8332486886,0,0,2,1,3
2013576,-73.9361441109,40.8205332889,0,0,2,4,3
2013577,-73.9012341882,40.8432870562,0,0,2,1,5
2013598,-73.9481990473,40.6647720168,1,1,1,2,2
2013599,-73.9207907356,40.8068687723,0,0,2,4,3
2013600,-73.9154115553,40.8385664447,0,0,2,1,3
2013602,-73.982602539,40.6997562549,1,1,0,2,1
2013603,-73.9457392693,40.8128118163,0,0,2,4,3
2013604,-73.9765274646,40.7459302417,1,1,0,4,1
2013608,-73.9185689808,40.833625491,0,0,2,1,3
2013610,-73.8388895221,40.7221189627,0,2,3,3,0
2013616,-73.7833805011,40.6848746539,0,2,3,3,0
2013617,-73.8666489705,40.8562649157,0,0,2,1,5
2013618,-73.8673173147,40.8383537183,0,0,2,1,5
2013682,-73.9290511364,40.6686785998,1,1,1,2,2
2013683,-73.9138294985,40.8602237464,0,0,2,1,5
2013684,-73.9236611482,40.8143198878,0,0,2,4,3
2013685,-73.9322047862,40.8004039853,0,0,2,4,3
2013687,-73.8288516366,40.7086112091,0,2,3,3,0
2013688,-73.9393273785,40.8440599437,0,0,2,1,3
2013689,-73.9323999651,40.8571757801,0,0,2,1,3
2013713,-73.90208863,40.8643780901,0,0,2,1,5
2013714,-73.9412104948,40.7090033939,1,1,0,2,1
2013715,-73.9480267571,40.8303763195,0,0,2,4,3
2013717,-73.9399308018,40.8162178801,0,0,2,4,3
2013720,-73.9144333183,40.8292446777,0,0,2,1,3
2013721,-73.9763821853,40.6060071245,1,1,1,0,2
2013722,-73.8798912576,40.8818435737,0,0,2,1,5
2013723,-73.8139436513,40.7010591722,0,2,3,3,0
2013724,-73.9665625105,40.6034630058,1,1,1,0,2
2013725,-73.9611686474,40.8002389737,0,0,0,4,3
2013756,-73.8453667207,40.8863037758,0,0,2,1,5
2013764,-73.8955229897,40.6665505358,1,2,3,2,2
2013772,-73.9909802387,40.7268397787,1,1,0,2,1
2013835,-73.9829447312,40.6450062656,1,1,1,2,2
2013836,-73.9587196275,40.65489232,1,1,1,2,2
2013838,-73.9047521441,40.8474153108,0,0,2,1,5
2013839,-73.8962660862,40.8585789396,0,0,2,1,5
2013841,-73.9368560573,40.797488981,0,0,0,4,3
2013842,-73.9252311924,40.8638519569,0,0,2,1,5
2013844,-73.9768485453,40.6943343256,1,1,1,2,1
2013845,-73.8884302624,40.8511526933,0,0,2,1,5
2013847,-73.8631053928,40.6705540988,1,2,3,3,0
2013890,-73.8176858859,40.729240192,0,2,3,3,0
2013895,-73.9617114168,40.6226970087,1,1,1,2,2
2013926,-73.8852034444,40.8714795278,0,0,2,1,5
2013927,-73.843832168,40.6820219398,1,2,3,3,0
2013928,-73.8208369663,40.7730568838,0,2,3,3,0
2013931,-73.8334815656,40.8463243927,0,0,2,1,5
2013957,-73.902916035,40.837488911,0,0,2,1,5
2013958,-73.9383080816,40.8246542881,0,0,2,4,3
2013959,-73.9492127743,40.6541885957,1,1,1,2,2
2013960,-73.8882892452,40.6703891745,1,2,3,2,0
2013962,-73.9987976754,40.5763245362,1,1,1,0,2
2013965,-73.9615922428,40.6732970563,1,1,1,2,2
2013973,-73.940397965,40.6657124433,1,1,1,2,2
