,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2012904,-73.752675332,40.724592787,0,2,0,4,5
2012905,-73.8627558125,40.7388325279,0,2,0,4,0
2012909,-73.955235553,40.8198945275,1,1,2,2,2
2012910,-73.9461199383,40.8022201043,1,1,2,0,1
2012911,-73.9957661489,40.7548420061,0,0,3,0,1
2012912,-73.8678154895,40.8786465319,1,1,2,2,2
2012913,-73.8402053915,40.5780579211,0,2,0,4,5
2012914,-73.9651886461,40.6897833066,0,0,3,1,4
2012915,-73.9632819368,40.7734346055,1,1,2,0,1
2012916,-73.9312912402,40.8526381317,1,1,2,2,2
2012917,-73.9404671206,40.8507411519,1,1,2,2,2
2012918,-73.8662437134,40.8366836926,1,1,2,2,2
2012919,-73.9402960798,40.8479991032,1,1,2,2,2
2012920,-73.9478065715,40.8300715568,1,1,2,2,2
2012921,-73.8078715397,40.733157478,0,2,0,4,5
2012922,-74.0019989396,40.7321896432,0,0,3,0,1
2012923,-73.8265145172,40.8332767319,1,1,2,2,2
2012924,-73.7406116835,40.7123300496,0,2,0,4,5
2012925,-73.9507854971,40.6865035367,0,0,3,1,4
2012926,-73.8714363904,40.7508892649,1,2,0,4,0
2012927,-73.9203163276,40.7445107362,0,0,3,0,1
2012928,-73.9388518667,40.8462829053,1,1,2,2,2
2012929,-73.9475758353,40.6872267389,0,0,3,1,4
2012930,-73.9704897617,40.6724872289,0,0,3,1,4
2012931,-73.8872906114,40.7515042247,0,2,0,0,0
2012932,-73.946978894,40.7214729014,0,0,3,0,1
2012933,-73.8723526365,40.8792280248,1,1,2,2,2
2012934,-73.9303485613,40.8311959012,1,1,2,2,2
2012935,-73.8219710536,40.8228700636,1,1,2,2,2
2012936,-73.8859419888,40.8161304527,1,1,2,2,2
2012938,-73.7625704493,40.7370446583,1,2,0,4,5
2012939,-73.9259732107,40.8240925965,1,1,2,2,2
2012940,-74.1127943201,40.6375303092,0,0,1,3,3
2012941,-73.927086135,40.8668997584,1,1,2,2,2
2012942,-73.9531223781,40.819325531,1,1,2,2,2
2012943,-73.9231552601,40.6955269321,0,0,3,1,0
2012944,-73.9470664776,40.7792608645,1,1,2,0,1
2012948,-73.9286812236,40.6842467365,0,0,3,1,0
2012949,-73.9230634644,40.868826668,1,1,2,2,2
2012950,-73.8679837757,40.7501827034,1,2,0,4,0
2012952,-73.9468563884,40.7212807118,0,0,3,0,1
2012953,-73.8307534177,40.6528401325,0,2,0,4,5
2012954,-74.0056975944,40.7351813015,0,0,3,0,1
2012955,-73.783076063,40.5977927552,0,2,0,4,5
2012956,-73.7495276468,40.6050504249,0,2,0,4,5
2012957,-73.9434060458,40.8292241093,1,1,2,2,2
2012958,-73.9489795558,40.780065935,1,1,2,0,1
2012959,-73.9747875881,40.7850479304,1,1,2,0,1
2012960,-73.7531790916,40.5934450399,0,2,0,4,5
2012961,-73.8763171909,40.6705690611,0,2,0,4,0
2012962,-73.9385526008,40.8181055212,1,1,2,2,2
2012964,-73.9451480954,40.6578345438,0,0,3,1,4
2012965,-74.0108627361,40.6342282422,0,0,1,1,4
2012966,-73.9880497077,40.7319282888,0,0,3,0,1
2012967,-73.9928849384,40.7631968652,0,0,3,0,1
2012968,-73.9405296519,40.8333589452,1,1,2,2,2
2012969,-73.9174227185,40.7060958052,0,0,3,1,0
2012970,-73.9114691684,40.8137869289,1,1,2,2,2
2012971,-73.9221677866,40.8278201605,1,1,2,2,2
2012974,-74.0972262585,40.6331610982,0,0,1,3,3
2012975,-73.9017284685,40.8634473309,1,1,2,2,2
2012977,-73.8579567347,40.738689471,0,2,0,4,0
2012979,-73.95947353,40.6419344644,0,0,3,1,4
2012980,-73.9849579002,40.6981756012,0,0,3,1,4
2012981,-73.8957810057,40.884378641,1,1,2,2,2
2012982,-73.8950880518,40.8651541764,1,1,2,2,2
2012983,-73.88525756,40.7458260733,0,2,0,0,0
2012984,-73.8993861389,40.8584060417,1,1,2,2,2
2012985,-73.8769061456,40.8749210577,1,1,2,2,2
2012986,-73.9377044365,40.8442072928,1,1,2,2,2
2012987,-73.8958365402,40.8581668472,1,1,2,2,2
2012988,-73.9442303931,40.8372747528,1,1,2,2,2
2012989,-73.9292502194,40.8310250604,1,1,2,2,2
2012991,-73.8930531228,40.8445807531,1,1,2,2,2
2012992,-73.7486053686,40.6003575345,0,2,0,4,5
2012993,-73.9124712708,40.8758949424,1,1,2,2,2
2012994,-73.9307735898,40.8568262386,1,1,2,2,2
2012995,-73.9474970471,40.8285041845,1,1,2,2,2
2012996,-74.154757189,40.5604513745,0,0,1,3,3
2012997,-73.9527902345,40.6814732091,0,0,3,1,4
2012998,-73.9738291223,40.6419605858,0,0,3,1,4
2013000,-73.8865951133,40.7466261207,0,2,0,0,0
2013001,-73.9865710685,40.7104778367,0,0,3,0,1
2013002,-73.8670977988,40.7474314438,0,2,0,4,0
2013003,-73.8588354106,40.8485484838,1,1,2,2,2
2013004,-73.9238652667,40.6737860597,0,0,3,1,4
2013005,-73.8737108031,40.760086688,1,2,0,4,0
2013006,-73.8860789246,40.8501019175,1,1,2,2,2
2013007,-73.9839194583,40.5777809077,0,0,1,1,4
2013010,-73.9028776763,40.7028538617,0,0,3,1,0
2013011,-73.885242004,40.8512319069,1,1,2,2,2
2013012,-73.9382984911,40.8388938559,1,1,2,2,2
2013014,-73.8557187154,40.8989948882,1,1,2,2,2
2013015,-73.9113390302,40.8409677523,1,1,2,2,2
2013016,-73.7512515548,40.6092207852,0,2,0,4,5
2013017,-73.8693686068,40.8280414205,1,1,2,2,2
2013018,-73.9147441843,40.8714612186,1,1,2,2,2
2013019,-73.8617475307,40.8873730303,1,1,2,2,2
2013020,-73.9084822369,40.7475952748,0,1,3,0,0
2013021,-73.9757511549,40.7866565508,1,1,2,0,1
2013022,-73.9380418932,40.8194968206,1,1,2,2,2
2013023,-73.9261162939,40.623632086,0,0,3,1,4
2013024,-73.9754456176,40.7828330722,1,1,2,0,1
2013026,-74.0149926754,40.6387621661,0,0,1,1,4
2013030,-74.0130709792,40.7061054698,0,0,3,0,1
2013033,-73.9487551272,40.7807931904,1,1,2,0,1
2013035,-73.9230190878,40.8478186957,1,1,2,2,2
2013036,-73.9059029413,40.854088634,1,1,2,2,2
2013037,-73.9144786041,40.6984247769,0,0,3,1,0
2013038,-73.9201972536,40.7023154746,0,0,3,1,0
2013040,-73.9268939659,40.8608201299,1,1,2,2,2
2013041,-73.9860550283,40.7116086174,0,0,3,0,1
2013042,-73.9415634406,40.7137273105,0,0,3,0,1
2013043,-73.9708629418,40.5939424727,0,0,3,1,4
2013044,-73.9204677834,40.8080926972,1,1,2,2,2
2013045,-73.8831219448,40.7535558874,1,2,0,0,0
