,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2013095,-73.9643425467,40.673890813,1,0,1,2,2
2013233,-73.860812289,40.7277550985,0,2,3,1,3
2013344,-73.9536058749,40.7062231215,1,0,0,4,2
2013349,-73.7760442939,40.6834195998,0,2,3,1,3
2013452,-73.9412104948,40.7090033939,1,0,0,4,2
2013562,-73.90358048,40.8478178093,0,1,2,0,1
2013665,-73.995997737,40.7451036496,1,0,0,4,4
2013709,-73.9494294239,40.6964362705,1,0,0,2,2
2013780,-73.8717933212,40.7360844642,0,2,3,1,3
2014010,-73.9847761982,40.6094779642,1,0,1,2,0
2014280,-73.9413719367,40.7961135124,0,1,0,4,4
2014361,-73.9270939558,40.6651942522,1,0,1,2,2
2014369,-74.0319182901,40.6346881944,1,0,1,3,5
2014374,-73.9491751166,40.7793084743,0,1,0,4,4
2014393,-73.921507882,40.8511854309,0,1,2,0,1
2014395,-73.8439184789,40.8700477445,0,1,2,0,1
2014457,-73.9431238531,40.8211709729,0,1,2,4,4
2014475,-73.8798912576,40.8818435737,0,1,2,0,1
2014498,-73.9513319936,40.6540769759,1,0,1,2,2
2014580,-73.8388895221,40.7221189627,0,2,3,1,3
2014786,-73.8203100621,40.7127647508,0,2,3,1,3
2014883,-74.0840557122,40.6171446425,1,0,1,3,5
2015087,-73.9499219519,40.813700254,0,1,0,4,4
2015123,-73.909404545,40.8151220047,0,1,2,0,4
2015201,-73.9380494486,40.8230237875,0,1,2,0,4
2015377,-73.8300217023,40.8763765975,0,1,2,0,1
2015449,-73.965444249,40.6001332362,1,0,1,2,0
2015581,-73.8702399739,40.8277651878,0,1,2,0,1
2015583,-73.9876668989,40.7142794546,1,0,0,4,2
2015603,-73.8334815656,40.8463243927,0,1,2,0,1
2015636,-73.92895353,40.8313789461,0,1,2,0,4
2015670,-73.9725132838,40.6434863794,1,0,1,2,0
2015700,-73.9477365845,40.8225647277,0,1,2,4,4
2015753,-73.9606484125,40.6538115521,1,0,1,2,2
2015829,-73.923518234,40.6117399413,1,0,1,2,0
2015906,-73.9570640584,40.6177547412,1,0,1,2,0
2015910,-73.9467017144,40.7748471589,0,1,0,4,4
2015947,-73.921292364,40.6850790754,1,0,0,2,2
2016041,-74.1611320318,40.6325513218,1,0,1,3,5
2016057,-73.8803326649,40.8716776871,0,1,2,0,1
2016152,-73.9115406353,40.7790441932,0,1,0,4,4
2016155,-73.992275756,40.599918588,1,0,1,2,0
2016197,-73.7760431515,40.6762447368,0,2,3,1,3
2016328,-73.957167703,40.6695433848,1,0,1,2,2
2016343,-73.9581067332,40.8159267423,0,1,0,4,4
2016441,-73.996252341,40.7098802007,1,0,0,4,2
2016541,-73.912563688,40.8413639254,0,1,2,0,1
2016682,-73.9825658795,40.7296137605,1,0,0,4,2
2016709,-73.9419893462,40.8129033111,0,1,2,4,4
2016800,-73.9820304858,40.7214315572,1,0,0,4,2
2016898,-73.8749611309,40.7458976981,0,2,3,1,3
2016922,-73.9531334627,40.7676752053,0,1,0,4,4
2017273,-74.0822236359,40.6357693756,1,0,1,3,5
2017370,-73.9657166494,40.588599672,1,0,1,2,0
2017378,-73.8714971859,40.8372468422,0,1,2,0,1
2017379,-73.8370315276,40.841641495,0,1,2,0,1
2017456,-73.8825046964,40.7372130064,0,2,3,1,3
2017486,-73.9258793435,40.8661936024,0,1,2,0,1
2017542,-73.953172792,40.6655289631,1,0,1,2,2
2017621,-73.9019493871,40.8631867724,0,1,2,0,1
2017656,-73.9216686405,40.6624953124,1,0,1,2,2
2017665,-73.9259786618,40.8061997624,0,1,2,4,4
