,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2012937,-73.8993861389,40.8584060417,1,0,2,4,5
2013057,-73.9567702727,40.7766080082,1,0,2,3,0
2013070,-73.9561239042,40.8205536014,1,0,2,4,0
2013097,-73.9928849384,40.7631968652,0,0,1,3,0
2013115,-73.9373475286,40.8432464518,1,0,2,4,0
2013126,-73.8928409598,40.8551284623,1,0,2,4,5
2013241,-73.9909802387,40.7268397787,0,2,1,3,4
2013250,-73.9228464579,40.8688869064,1,0,2,4,5
2013355,-73.9249286931,40.8467851999,1,0,2,4,5
2013356,-73.8238831221,40.7666224077,1,1,0,1,2
2013406,-73.9538008283,40.6539105624,0,2,1,0,1
2013433,-73.9505918135,40.8116420017,1,0,2,4,0
2013437,-73.9612555606,40.5764442702,0,2,1,0,1
2013497,-73.8635784151,40.8199762196,1,0,2,4,5
2013498,-73.9581313951,40.6905879178,0,2,1,0,4
2013499,-73.9556706593,40.8229879925,1,0,2,4,0
2013500,-73.9803505672,40.7295008688,0,2,1,3,4
2013501,-73.8312740478,40.7661805854,1,1,0,1,2
2013550,-73.9355556216,40.8424769463,1,0,2,4,0
2013596,-74.0765972357,40.6401786454,0,2,3,2,3
2013662,-73.8662563161,40.7297432665,1,1,0,1,2
2013663,-73.9351906518,40.6680509234,0,2,1,0,4
2013664,-73.9801632183,40.7285950673,0,2,1,3,4
2013797,-73.9827024255,40.7178717073,0,2,1,3,4
2013798,-73.8661287702,40.8722549379,1,0,2,4,5
2013805,-73.9448676167,40.7137454089,0,2,1,3,4
2013834,-73.9793455195,40.596296603,0,2,1,0,1
2013886,-73.9632146069,40.6534885172,0,2,1,0,1
2013917,-73.8512120574,40.8761753085,1,0,2,4,5
2013954,-73.889990518,40.8847053746,1,0,2,4,5
2014022,-73.8740658168,40.7441455706,1,1,0,1,2
2014023,-73.9282628743,40.6910425308,0,2,1,0,4
2014028,-73.9032173382,40.861403788,1,0,2,4,5
2014029,-73.9417813184,40.8194466196,1,0,2,4,0
2014097,-73.9400488921,40.701169235,0,2,1,3,4
2014109,-73.9373432622,40.8209154626,1,0,2,4,0
2014186,-73.812424202,40.7142700283,1,1,0,1,2
2014187,-73.8764025867,40.8248515775,1,0,2,4,5
2014213,-73.9792591797,40.7235527895,0,2,1,3,4
2014214,-73.91101214,40.8367763272,1,0,2,4,5
2014279,-73.8521415458,40.8419500487,1,0,2,4,5
2014285,-73.885623334,40.8712109645,1,0,2,4,5
2014287,-73.9553214733,40.821072045,1,0,2,4,0
2014359,-73.9699090276,40.6332778661,0,2,1,0,1
2014366,-73.9468745035,40.7845443914,1,0,2,3,0
2014392,-73.9793839144,40.6118925427,0,2,1,0,1
2014399,-73.984566387,40.7225106151,0,2,1,3,4
2014403,-73.9475857707,40.7112846267,0,2,1,3,4
2014404,-74.2384877849,40.5044234234,0,2,3,2,3
2014474,-73.8116695714,40.8153798134,1,0,0,4,5
2014491,-73.9020194942,40.7027241303,0,1,1,3,4
2014523,-73.944057653,40.7547516471,1,0,1,3,0
2014572,-73.9456783377,40.68829083,0,2,1,0,4
2014588,-73.9209681496,40.8795323011,1,0,2,4,5
2014589,-73.9962445786,40.7196131231,0,2,1,3,4
2014641,-73.9436379194,40.7005260283,0,2,1,3,4
2014771,-73.7868690087,40.845613658,1,0,2,4,5
