Name,Total
A1,1
A2,1
A3,1
A4,2
A5,2
A6,3
A7,3
A8,3
A9,4
A10,4
A11,5
A12,5
A13,6
A14,7
A15,7
A16,8
A17,8
A18,9
A19,11
A20,12
A21,15
A22,16
A23,16
A24,17
A25,19
A26,23
A27,36
A28,36
A29,37
A30,42
A31,51
A32,52
A33,54
A34,59
A35,65
A36,65
A37,74
A38,88
A39,89
A40,96
A41,97
A42,116
A43,118
A44,120
A45,131
A46,133
A47,142
A48,167
A49,178
A50,180
A51,192
A52,223
A53,225
A54,243
A55,248
A56,266
A57,283
A58,286
A59,312
A60,314
A61,315
A62,319
A63,332
A64,342
A65,355
A66,394
A67,419
A68,424
A69,426
A70,462
A71,518
A72,612
A73,639
A74,639
A75,643
A76,675
A77,775
A78,820
A79,980
A80,1058
A81,1074
A82,1094
A83,1207
A84,1229
A85,1254
A86,1255
A87,1334
A88,1395
A89,1395
A90,1415
A91,1471
A92,1493
A93,1511
A94,1577
A95,1603
A96,1679
A97,1726
A98,1798
A99,1958
A100,2308
A101,2328
A102,2342
A103,2491
A104,2550
A105,2734
A106,3001
A107,3005
A108,3025
A109,3161
A110,3406
A111,3877
A112,3947
A113,3994
A114,4047
A115,4140
A116,4576
A117,4678
A118,4690
A119,4785
A120,4820
A121,4970
A122,5164
A123,5327
A124,5959
A125,6240
A126,6377
A127,7005
A128,7454
A129,8337
A130,9551
A131,9570
A132,9835
A133,9936
A134,10306
A135,10484
A136,11215
A137,12698
A138,13184
A139,14880
A140,15031
A141,16840
A142,17009
A143,17626
A144,18552
A145,19105
A146,21385
A147,22362
A148,24876
A149,25139
A150,25156
A151,26715
A152,27169
A153,27742
A154,29193
A155,30074
A156,30730
A157,31162
A158,33745
A159,35475
A160,39916
A161,43541
A162,50777
A163,55282
A164,56311
A165,58631
A166,69216
A167,69557
A168,82718
A169,90862
A170,100192
A171,118479
A172,205826
A173,225042
