,X,Y,Z3,Z15,Z30
0,-74.2506958083,40.4994231013,0,1,2
1,-74.2406958083,40.4994231013,0,2,2
2,-74.2306958083,40.4994231013,2,2,2
3,-74.2206958083,40.4994231013,2,2,2
4,-74.2106958083,40.4994231013,2,2,2
5,-74.2006958083,40.4994231013,2,2,2
6,-74.1906958083,40.4994231013,2,2,2
7,-74.1806958083,40.4994231013,2,2,2
8,-74.1706958083,40.4994231013,2,1,2
9,-74.1606958083,40.4994231013,1,1,1
10,-74.1506958083,40.4994231013,1,1,1
11,-74.1406958083,40.4994231013,1,1,2
12,-74.1306958083,40.4994231013,2,1,2
13,-74.1206958083,40.4994231013,2,1,1
14,-74.1106958083,40.4994231013,2,2,2
15,-74.1006958083,40.4994231013,2,2,2
16,-74.0906958083,40.4994231013,2,2,2
17,-74.0806958083,40.4994231013,2,2,2
18,-74.0706958083,40.4994231013,2,2,2
19,-74.0606958083,40.4994231013,2,2,2
20,-74.0506958083,40.4994231013,2,2,2
21,-74.0406958083,40.4994231013,2,2,2
22,-74.0306958083,40.4994231013,2,0,0
23,-74.0206958083,40.4994231013,0,0,0
24,-74.0106958083,40.4994231013,0,0,0
25,-74.0006958083,40.4994231013,1,0,0
26,-73.9906958083,40.4994231013,0,0,0
27,-73.9806958083,40.4994231013,0,0,0
28,-73.9706958083,40.4994231013,0,0,0
29,-73.9606958083,40.4994231013,2,0,2
30,-73.9506958083,40.4994231013,2,0,0
31,-73.9406958083,40.4994231013,2,0,2
32,-73.9306958083,40.4994231013,0,0,0
33,-73.9206958083,40.4994231013,0,0,0
34,-73.9106958083,40.4994231013,0,0,2
35,-73.9006958083,40.4994231013,1,0,2
36,-73.8906958083,40.4994231013,1,2,0
37,-73.8806958083,40.4994231013,1,2,1
38,-73.8706958083,40.4994231013,1,2,1
39,-73.8606958083,40.4994231013,1,2,1
40,-73.8506958083,40.4994231013,1,2,1
41,-73.8406958083,40.4994231013,2,2,1
42,-73.8306958083,40.4994231013,0,2,2
43,-73.8206958083,40.4994231013,0,1,2
44,-73.8106958083,40.4994231013,0,0,1
45,-73.8006958083,40.4994231013,0,1,1
46,-73.7906958083,40.4994231013,0,1,1
47,-73.7806958083,40.4994231013,0,0,0
48,-73.7706958083,40.4994231013,0,0,0
49,-73.7606958083,40.4994231013,0,0,0
50,-73.7506958083,40.4994231013,0,0,0
51,-73.7406958083,40.4994231013,0,0,1
52,-73.7306958083,40.4994231013,0,1,0
53,-73.7206958083,40.4994231013,0,1,0
54,-73.7106958083,40.4994231013,0,1,0
55,-74.2506958083,40.5094231013,1,1,2
56,-74.2406958083,40.5094231013,0,2,2
57,-74.2306958083,40.5094231013,1,2,2
58,-74.2206958083,40.5094231013,0,2,2
59,-74.2106958083,40.5094231013,2,2,2
60,-74.2006958083,40.5094231013,2,2,2
61,-74.1906958083,40.5094231013,2,2,2
62,-74.1806958083,40.5094231013,2,2,2
63,-74.1706958083,40.5094231013,1,1,2
64,-74.1606958083,40.5094231013,1,1,2
65,-74.1506958083,40.5094231013,1,1,2
66,-74.1406958083,40.5094231013,1,1,2
67,-74.1306958083,40.5094231013,2,1,1
68,-74.1206958083,40.5094231013,2,1,2
69,-74.1106958083,40.5094231013,2,2,2
70,-74.1006958083,40.5094231013,2,2,2
71,-74.0906958083,40.5094231013,2,2,2
72,-74.0806958083,40.5094231013,2,2,2
73,-74.0706958083,40.5094231013,2,2,2
74,-74.0606958083,40.5094231013,2,2,2
75,-74.0506958083,40.5094231013,2,2,2
76,-74.0406958083,40.5094231013,2,2,2
77,-74.0306958083,40.5094231013,2,0,2
78,-74.0206958083,40.5094231013,0,0,0
79,-74.0106958083,40.5094231013,0,0,0
80,-74.0006958083,40.5094231013,1,0,0
81,-73.9906958083,40.5094231013,0,0,0
82,-73.9806958083,40.5094231013,0,0,0
83,-73.9706958083,40.5094231013,0,0,0
84,-73.9606958083,40.5094231013,2,0,2
85,-73.9506958083,40.5094231013,2,0,0
86,-73.9406958083,40.5094231013,2,0,0
87,-73.9306958083,40.5094231013,0,0,0
88,-73.9206958083,40.5094231013,0,0,0
89,-73.9106958083,40.5094231013,0,0,2
90,-73.9006958083,40.5094231013,1,0,2
91,-73.8906958083,40.5094231013,1,2,0
92,-73.8806958083,40.5094231013,1,2,1
93,-73.8706958083,40.5094231013,1,2,1
94,-73.8606958083,40.5094231013,1,2,1
95,-73.8506958083,40.5094231013,1,2,1
96,-73.8406958083,40.5094231013,2,2,1
97,-73.8306958083,40.5094231013,0,2,2
98,-73.8206958083,40.5094231013,0,1,1
99,-73.8106958083,40.5094231013,0,1,1
100,-73.8006958083,40.5094231013,0,0,1
101,-73.7906958083,40.5094231013,0,1,0
102,-73.7806958083,40.5094231013,0,0,0
103,-73.7706958083,40.5094231013,0,0,0
104,-73.7606958083,40.5094231013,2,0,2
105,-73.7506958083,40.5094231013,0,0,0
106,-73.7406958083,40.5094231013,0,1,0
107,-73.7306958083,40.5094231013,0,1,0
108,-73.7206958083,40.5094231013,0,1,0
109,-73.7106958083,40.5094231013,0,1,0
110,-74.2506958083,40.5194231013,2,1,2
111,-74.2406958083,40.5194231013,1,1,2
112,-74.2306958083,40.5194231013,1,2,2
113,-74.2206958083,40.5194231013,0,1,2
114,-74.2106958083,40.5194231013,0,2,2
115,-74.2006958083,40.5194231013,2,2,2
116,-74.1906958083,40.5194231013,2,2,2
117,-74.1806958083,40.5194231013,0,2,2
118,-74.1706958083,40.5194231013,1,1,2
119,-74.1606958083,40.5194231013,1,1,2
120,-74.1506958083,40.5194231013,1,1,2
121,-74.1406958083,40.5194231013,2,1,2
122,-74.1306958083,40.5194231013,2,1,1
123,-74.1206958083,40.5194231013,2,2,2
124,-74.1106958083,40.5194231013,2,2,2
125,-74.1006958083,40.5194231013,2,2,2
126,-74.0906958083,40.5194231013,2,2,2
127,-74.0806958083,40.5194231013,2,2,2
128,-74.0706958083,40.5194231013,2,2,2
129,-74.0606958083,40.5194231013,2,2,2
130,-74.0506958083,40.5194231013,2,2,2
131,-74.0406958083,40.5194231013,2,2,2
132,-74.0306958083,40.5194231013,2,2,2
133,-74.0206958083,40.5194231013,0,0,0
134,-74.0106958083,40.5194231013,0,0,0
135,-74.0006958083,40.5194231013,1,0,0
136,-73.9906958083,40.5194231013,0,0,0
137,-73.9806958083,40.5194231013,0,0,0
138,-73.9706958083,40.5194231013,0,0,0
139,-73.9606958083,40.5194231013,2,0,2
140,-73.9506958083,40.5194231013,2,0,0
141,-73.9406958083,40.5194231013,2,0,0
142,-73.9306958083,40.5194231013,0,0,0
143,-73.9206958083,40.5194231013,0,2,0
144,-73.9106958083,40.5194231013,0,0,0
145,-73.9006958083,40.5194231013,1,0,2
146,-73.8906958083,40.5194231013,1,2,2
147,-73.8806958083,40.5194231013,1,2,1
